family,file_read,file_created,regkey_written,regkey_read,apistats,command_line,directory_enumerated,dll_loaded,tree_command_line,arguments,urls,proc_pid
G,0,1,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,43467,0,0,0,770,173,227
G,0,0,0,0,0,2062,0,0,0,39,0,6
G,0,0,0,0,0,43409,0,0,0,770,177,224
G,0,0,0,0,0,9477,0,0,0,182,6,27
G,0,0,0,0,0,5386,0,0,0,105,142,72
G,519,0,0,0,0,3199,0,0,0,58,160,36
G,0,0,0,0,0,6688,0,0,0,122,164,72
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,52973,0,0,0,989,210,248
G,0,0,0,0,0,40290,0,0,0,780,25,105
G,39731,0,0,0,0,41282,0,0,0,793,162,209
G,375,0,0,0,0,383,0,0,0,12,0,2
G,18160,0,0,0,0,2192,0,0,0,51,42,10
G,19415,0,0,0,0,0,0,0,0,0,36,7
G,19136,0,0,0,0,81,0,0,0,1,77,5
G,19286,0,0,0,0,678,0,0,0,11,71,11
G,19304,0,0,0,0,946,0,0,0,19,44,10
G,18435,0,0,0,0,48,0,0,0,1,33,16
G,18947,0,0,0,0,0,0,0,0,0,36,10
G,17982,0,0,0,0,0,0,0,0,0,52,8
G,18258,0,0,0,0,0,0,0,0,0,65,7
G,18858,0,0,0,0,0,0,0,0,0,63,8
G,18521,0,0,0,0,0,0,0,0,0,42,12
G,18540,0,0,0,0,0,0,0,0,0,49,5
G,19124,0,0,0,0,0,0,0,0,0,55,6
G,17686,0,0,0,0,318,0,0,0,3,59,7
G,17943,2,0,0,0,392,0,0,0,7,64,9
G,25447,2,0,0,0,162,0,0,0,2,68,14
G,16732,0,0,0,0,162,0,0,0,2,46,6
G,0,0,0,0,0,228,0,0,0,3,0,12
G,4,0,0,0,0,81,0,0,0,1,0,10
G,9,0,0,0,0,0,0,0,0,0,0,7
G,0,0,0,0,0,81,0,0,0,1,0,12
G,0,0,0,0,0,0,0,0,0,0,0,11
G,0,0,0,0,0,235,0,0,0,4,0,11
G,15995,0,0,0,0,81,0,0,0,1,0,5
G,10518,0,0,0,0,191,0,0,0,2,0,10
G,7028,0,0,0,0,81,0,0,0,1,0,3
G,20275,0,0,0,0,81,0,0,0,1,43,3
G,19908,0,0,0,0,0,0,0,0,0,33,9
G,7694,0,0,0,0,0,0,0,0,0,34,4
G,21155,0,0,0,0,81,0,0,0,1,33,6
G,18218,0,0,0,0,0,0,0,0,0,31,9
