family,file_read,file_created,regkey_written,regkey_read,apistats,command_line,directory_enumerated,dll_loaded,tree_command_line,arguments,urls,proc_pid
G,0,0,0,0,0,0,0,0,0,0,1,1
G,0,0,0,0,463,1280,7,10812,3098,8,1,6
G,0,0,0,0,0,0,0,0,0,0,1,6
G,0,0,0,0,18,1781,10,443,3237,21,2,8
G,0,0,0,0,0,0,0,0,0,0,2,5
G,0,0,0,0,8,147,4,147,0,2,2,11
G,0,0,0,0,11,1572,11,208,5510,8,3,8
G,0,0,0,0,0,0,0,42,0,0,26,1
G,0,0,0,0,0,0,0,0,0,0,4,2
G,0,0,0,0,0,0,0,0,0,0,2,2
G,0,0,0,0,0,0,0,0,0,0,1,5
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,0,0,0,0,0,0,3,2
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,0,0,0,0,0,0,0,4
G,0,0,0,0,0,0,0,0,0,0,0,3
G,0,0,0,0,0,0,0,0,0,0,1,2
G,0,0,0,0,0,0,0,0,0,0,1,3
G,0,0,0,0,0,0,0,0,0,0,1,2
G,0,0,0,0,0,0,0,0,0,0,4,4
G,0,0,0,0,0,0,0,0,0,0,0,4
G,0,0,0,0,0,0,0,0,0,0,1,7
G,0,0,0,0,0,0,0,0,0,0,1,6
G,0,0,0,0,0,0,0,0,0,0,0,7
G,0,0,0,0,0,0,0,0,0,0,0,7
G,0,0,0,0,0,0,0,0,0,0,1,7
G,0,0,0,0,11,1394,5,210,8469,22,2,12
G,0,0,0,0,11,1572,11,238,5510,8,1,8
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,13,195,5,241,0,3,2,6
G,0,0,0,0,1,81,1,28,0,1,4,3
G,0,0,0,0,0,0,0,0,0,0,2,1
G,0,0,0,0,1,48,2,38,0,1,4,8
G,0,0,0,0,0,0,0,0,0,0,6,3
G,0,0,0,0,6,48,2,90,0,1,21,7
G,0,0,0,0,0,0,0,0,0,0,41,1
G,0,0,0,0,0,0,0,1,0,0,11,1
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,0,0,0,0,0,0,3,2
G,0,0,0,0,0,0,0,0,0,0,4,2
G,0,0,0,0,13,195,5,271,0,3,3,6
G,0,0,0,0,0,0,0,0,0,0,0,4
G,0,0,0,0,0,0,0,0,0,0,1,5
G,0,0,0,0,0,0,0,0,0,0,2,7
G,0,0,0,0,23,1172,9,377,8825,20,6,12
G,0,0,0,0,1,81,1,27,0,1,0,8
G,0,0,0,0,1,81,1,27,0,1,5,7
G,0,0,0,0,42,11753,72,883,4523,205,28,17
G,0,0,0,0,8,979,3,120,52,12,22,4
G,0,0,0,0,36,2836,39,631,8451,73,96,11
G,0,0,0,0,5,321,2,156,3271,10,29,4
G,0,0,0,0,14,378,6,246,0,5,6,10
G,0,0,0,0,5,411,2,157,3316,10,14,2
G,0,0,0,0,0,0,0,3,0,0,1,1
G,0,0,0,0,0,0,0,0,0,0,0,1
